generator_id,source_type,energy_kwh,generation_date
WF-A-01,Wind,98.5,2026-01-03
WF-A-01,Wind,102.0,2026-01-10
WF-A-01,Wind,110.2,2026-01-17
WF-A-01,Wind,95.8,2026-01-24
WF-A-01,Wind,101.3,2026-01-31
WF-A-01,Wind,99.9,2026-02-07
WF-A-01,Wind,104.7,2026-02-14
WF-A-01,Wind,97.2,2026-02-21
WF-A-01,Wind,100.4,2026-02-28
WF-A-01,Wind,103.1,2026-03-07
WF-A-01,Wind,96.6,2026-03-14
WF-A-01,Wind,101.8,2026-03-21
SP-C-01,Solar,980.0,2026-01-05
SP-C-01,Solar,1010.0,2026-01-12
SP-C-01,Solar,1005.5,2026-01-19
SP-C-01,Solar,995.0,2026-01-26
SP-C-01,Solar,1020.0,2026-02-02
SP-C-01,Solar,990.0,2026-02-09
SP-C-01,Solar,1000.0,2026-02-16
SP-C-01,Solar,1012.0,2026-02-23
SP-C-01,Solar,985.0,2026-03-02
SP-C-01,Solar,1003.0,2026-03-09
SP-C-01,Solar,997.0,2026-03-16
SP-C-01,Solar,1008.0,2026-03-23
